Date,Region,Disease,New_Cases
2020-01-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),530
2020-01-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1513
2020-01-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),8125
2020-01-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1355
2020-02-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),670
2020-02-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1089
2020-02-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),894
2020-02-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),53
2020-03-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),604
2020-03-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),234
2020-03-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),266
2020-03-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),423
2020-03-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),97
2020-04-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),25
2020-04-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-04-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-04-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-05-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-05-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-05-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-05-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),98
2020-05-31,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),187
2020-06-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),579
2020-06-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1814
2020-06-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2925
2020-06-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),411
2020-07-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1028
2020-07-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1956
2020-07-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1897
2020-07-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),5744
2020-08-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2704
2020-08-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),375
2020-08-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),822
2020-08-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),867
2020-08-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),20651
2020-09-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),5774
2020-09-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3826
2020-09-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),76
2020-09-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),454
2020-10-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),630
2020-10-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),844
2020-10-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2619
2020-10-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),909
2020-11-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),905
2020-11-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),137
2020-11-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1159
2020-11-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1181
2020-11-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3844
2020-12-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1501
2020-12-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1823
2020-12-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2187
2020-12-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1077
2021-01-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3336
2021-01-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),4646
2021-01-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),913
2021-01-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2515
2021-01-31,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),664
2021-02-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),314
2021-02-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),190
2021-02-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),691
2021-02-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),953
2021-03-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),483
2021-03-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),634
2021-03-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),15
2021-03-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),162
2021-04-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),11
2021-04-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),4
2021-04-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2021-04-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2021-05-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2021-05-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2021-05-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2021-05-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2021-05-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),12
2021-06-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),21
2021-06-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),42
2021-06-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1829
2021-06-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),33
2021-07-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),903
2021-07-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3021
2021-07-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1536
2021-07-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3682
2021-08-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),356
2021-08-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),5606
2021-08-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1093
2021-08-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2102
2021-08-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),11064
2021-09-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),11739
2021-09-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1114
2021-09-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1749
2021-09-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),261
2021-10-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),265
2021-10-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),48
2021-10-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1122
2021-10-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3050
2021-10-31,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),181
2021-11-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),226
2021-11-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1509
2021-11-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),72
2021-11-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1787
2021-12-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),943
2021-12-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),6816
2021-12-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2395
2021-12-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3251
2022-01-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1148
2022-01-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),6757
2022-01-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),83
2022-01-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2711
2022-01-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),577
2022-02-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),6300
2022-02-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1140
2022-02-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),260
2022-02-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3641
2022-03-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),701
2022-03-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),161
2022-03-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),82
2022-03-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),19
2022-04-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2
2022-04-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2
2022-04-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2022-04-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2022-05-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2022-05-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2022-05-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2022-05-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2022-05-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),55
2022-06-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),681
2022-06-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),110
2022-06-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1116
2022-06-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),865
2022-07-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),5885
2022-07-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),720
2022-07-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1401
2022-07-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),6260
2022-07-31,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),569
2022-08-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1578
2022-08-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1013
2022-08-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2299
2022-08-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),7307
2022-09-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),7139
2022-09-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),292
2022-09-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),695
